service,year,month,status,records,duration
green,2015,1,SUCCESS,1508493,44.034139
green,2015,2,SUCCESS,1574830,44.752931
green,2015,3,SUCCESS,1722574,45.236302
green,2015,4,SUCCESS,1664394,46.644627
green,2015,5,SUCCESS,1786848,48.034444
green,2015,6,SUCCESS,1638868,45.51162
green,2015,7,SUCCESS,1541671,44.06428
green,2015,8,SUCCESS,1532343,44.355789
green,2015,9,SUCCESS,1494927,43.068413
green,2015,10,SUCCESS,1630536,45.179705
green,2015,11,SUCCESS,1529984,46.048084
green,2015,12,SUCCESS,1608297,46.589371
green,2016,1,SUCCESS,1445292,43.957365
green,2016,2,SUCCESS,1510722,44.334377
green,2016,3,SUCCESS,1576393,44.731798
green,2016,4,SUCCESS,1543926,48.838017
green,2016,5,SUCCESS,1536979,48.410926
green,2016,6,SUCCESS,1404727,46.896115
green,2016,7,SUCCESS,1332510,46.152563
green,2016,8,SUCCESS,1247675,79.796171
green,2016,9,SUCCESS,1162373,49.770322
green,2016,10,SUCCESS,1252572,39.981303
green,2016,11,SUCCESS,1148214,35.959848
green,2016,12,SUCCESS,1224158,39.561968
green,2017,1,SUCCESS,1069565,39.844935
green,2017,2,SUCCESS,1022313,31.394112
green,2017,3,SUCCESS,1157827,42.294399
green,2017,4,SUCCESS,1080844,38.360788
green,2017,5,SUCCESS,1059463,33.393871
green,2017,6,SUCCESS,976467,32.342428
green,2017,7,SUCCESS,914783,31.400663
green,2017,8,SUCCESS,867407,30.157021
green,2017,9,SUCCESS,882464,32.706967
green,2017,10,SUCCESS,925737,30.56706
green,2017,11,SUCCESS,874173,30.311953
green,2017,12,SUCCESS,906016,31.521141
green,2018,1,SUCCESS,792744,29.356926
green,2018,2,SUCCESS,769197,29.17263
green,2018,3,SUCCESS,836246,29.842881
green,2018,4,SUCCESS,799383,29.008383
green,2018,5,SUCCESS,796552,29.616948
green,2018,6,SUCCESS,738546,39.363703
green,2018,7,SUCCESS,684374,28.99792
green,2018,8,SUCCESS,675815,27.956067
green,2018,9,SUCCESS,682032,27.868724
green,2018,10,SUCCESS,731888,28.686082
green,2018,11,SUCCESS,673287,27.305063
green,2018,12,SUCCESS,719654,28.2781
green,2019,1,SUCCESS,672105,27.795465
green,2019,2,SUCCESS,615594,26.240196
green,2019,3,SUCCESS,643063,27.471972
